,longPos,shortPos,netPos,longAP,shortAP
m1701,0,0,0,0,0
m1703,0,0,0,0,0
m1703-C-2250,0,0,0,0,0
m1703-C-2300,0,0,0,0,0
m1703-C-2350,0,0,0,0,0
m1703-C-2400,0,0,0,0,0
m1703-C-2450,0,0,0,0,0
m1703-C-2500,0,0,0,0,0
m1703-C-2550,0,0,0,0,0
m1703-C-2600,0,0,0,0,0
m1703-C-2650,0,0,0,0,0
m1703-C-2700,0,0,0,0,0
m1703-C-2750,0,0,0,0,0
m1703-C-2800,0,0,0,0,0
m1703-C-2850,0,0,0,0,0
m1703-C-2900,0,0,0,0,0
m1703-C-2950,0,0,0,0,0
m1703-C-3000,0,0,0,0,0
m1703-C-3050,0,0,0,0,0
m1703-C-3100,0,0,0,0,0
m1703-C-3150,0,0,0,0,0
m1703-C-3200,0,0,0,0,0
m1703-C-3250,0,0,0,0,0
m1703-C-3300,0,0,0,0,0
m1703-C-3350,0,0,0,0,0
m1703-C-3400,0,0,0,0,0
m1703-C-3450,0,0,0,0,0
m1703-C-3500,0,0,0,0,0
m1703-C-3550,0,0,0,0,0
m1703-P-2250,0,0,0,0,0
m1703-P-2300,0,0,0,0,0
m1703-P-2350,0,0,0,0,0
m1703-P-2400,0,0,0,0,0
m1703-P-2450,0,0,0,0,0
m1703-P-2500,0,0,0,0,0
m1703-P-2550,0,0,0,0,0
m1703-P-2600,0,0,0,0,0
m1703-P-2650,0,0,0,0,0
m1703-P-2700,0,0,0,0,0
m1703-P-2750,0,0,0,0,0
m1703-P-2800,0,0,0,0,0
m1703-P-2850,0,0,0,0,0
m1703-P-2900,0,0,0,0,0
m1703-P-2950,0,0,0,0,0
m1703-P-3000,0,0,0,0,0
m1703-P-3050,0,0,0,0,0
m1703-P-3100,0,0,0,0,0
m1703-P-3150,0,0,0,0,0
m1703-P-3200,0,0,0,0,0
m1703-P-3250,0,0,0,0,0
m1703-P-3300,0,0,0,0,0
m1703-P-3350,0,0,0,0,0
m1703-P-3400,0,0,0,0,0
m1703-P-3450,0,0,0,0,0
m1703-P-3500,0,0,0,0,0
m1703-P-3550,0,0,0,0,0
m1705,0,0,0,0,0
m1705-C-2450,0,0,0,0,0
m1705-C-2500,0,0,0,0,0
m1705-C-2550,0,0,0,0,0
m1705-C-2600,0,0,0,0,0
m1705-C-2650,0,0,0,0,0
m1705-C-2700,0,0,0,0,0
m1705-C-2750,0,0,0,0,0
m1705-C-2800,0,0,0,0,0
m1705-C-2850,0,0,0,0,0
m1705-C-2900,0,0,0,0,0
m1705-C-2950,0,0,0,0,0
m1705-C-3000,0,0,0,0,0
m1705-C-3050,0,0,0,0,0
m1705-C-3100,0,0,0,0,0
m1705-C-3150,0,0,0,0,0
m1705-C-3200,0,0,0,0,0
m1705-C-3250,0,0,0,0,0
m1705-C-3300,0,0,0,0,0
m1705-C-3350,0,0,0,0,0
m1705-C-3400,0,0,0,0,0
m1705-C-3450,0,0,0,0,0
m1705-P-2450,0,0,0,0,0
m1705-P-2500,0,0,0,0,0
m1705-P-2550,0,0,0,0,0
m1705-P-2600,0,0,0,0,0
m1705-P-2650,0,0,0,0,0
m1705-P-2700,0,0,0,0,0
m1705-P-2750,0,0,0,0,0
m1705-P-2800,0,0,0,0,0
m1705-P-2850,0,0,0,0,0
m1705-P-2900,0,0,0,0,0
m1705-P-2950,0,0,0,0,0
m1705-P-3000,0,0,0,0,0
m1705-P-3050,0,0,0,0,0
m1705-P-3100,0,0,0,0,0
m1705-P-3150,0,0,0,0,0
m1705-P-3200,0,0,0,0,0
m1705-P-3250,0,0,0,0,0
m1705-P-3300,0,0,0,0,0
m1705-P-3350,0,0,0,0,0
m1705-P-3400,0,0,0,0,0
m1705-P-3450,0,0,0,0,0
m1707,0,0,0,0,0
m1707-C-2450,0,0,0,0,0
m1707-C-2500,0,0,0,0,0
m1707-C-2550,0,0,0,0,0
m1707-C-2600,0,0,0,0,0
m1707-C-2650,0,0,0,0,0
m1707-C-2700,0,0,0,0,0
m1707-C-2750,0,0,0,0,0
m1707-C-2800,0,0,0,0,0
m1707-C-2850,0,0,0,0,0
m1707-C-2900,0,0,0,0,0
m1707-C-2950,0,0,0,0,0
m1707-C-3000,0,0,0,0,0
m1707-C-3050,0,0,0,0,0
m1707-C-3100,0,0,0,0,0
m1707-C-3150,0,0,0,0,0
m1707-C-3200,0,0,0,0,0
m1707-P-2450,0,0,0,0,0
m1707-P-2500,0,0,0,0,0
m1707-P-2550,0,0,0,0,0
m1707-P-2600,0,0,0,0,0
m1707-P-2650,0,0,0,0,0
m1707-P-2700,0,0,0,0,0
m1707-P-2750,0,0,0,0,0
m1707-P-2800,0,0,0,0,0
m1707-P-2850,0,0,0,0,0
m1707-P-2900,0,0,0,0,0
m1707-P-2950,0,0,0,0,0
m1707-P-3000,0,0,0,0,0
m1707-P-3050,0,0,0,0,0
m1707-P-3100,0,0,0,0,0
m1707-P-3150,0,0,0,0,0
m1707-P-3200,0,0,0,0,0
m1708,0,0,0,0,0
m1708-C-2450,0,0,0,0,0
m1708-C-2500,0,0,0,0,0
m1708-C-2550,0,0,0,0,0
m1708-C-2600,0,0,0,0,0
m1708-C-2650,0,0,0,0,0
m1708-C-2700,0,0,0,0,0
m1708-C-2750,0,0,0,0,0
m1708-C-2800,0,0,0,0,0
m1708-C-2850,0,0,0,0,0
m1708-C-2900,0,0,0,0,0
m1708-C-2950,0,0,0,0,0
m1708-C-3000,0,0,0,0,0
m1708-C-3050,0,0,0,0,0
m1708-C-3100,0,0,0,0,0
m1708-C-3150,0,0,0,0,0
m1708-C-3200,0,0,0,0,0
m1708-C-3250,0,0,0,0,0
m1708-P-2450,0,0,0,0,0
m1708-P-2500,0,0,0,0,0
m1708-P-2550,0,0,0,0,0
m1708-P-2600,0,0,0,0,0
m1708-P-2650,0,0,0,0,0
m1708-P-2700,0,0,0,0,0
m1708-P-2750,0,0,0,0,0
m1708-P-2800,0,0,0,0,0
m1708-P-2850,0,0,0,0,0
m1708-P-2900,0,0,0,0,0
m1708-P-2950,0,0,0,0,0
m1708-P-3000,0,0,0,0,0
m1708-P-3050,0,0,0,0,0
m1708-P-3100,0,0,0,0,0
m1708-P-3150,0,0,0,0,0
m1708-P-3200,0,0,0,0,0
m1708-P-3250,0,0,0,0,0
m1709,0,0,0,0,0
m1709-C-2500,0,0,0,0,0
m1709-C-2550,0,0,0,0,0
m1709-C-2600,0,0,0,0,0
m1709-C-2650,0,0,0,0,0
m1709-C-2700,0,0,0,0,0
m1709-C-2750,0,0,0,0,0
m1709-C-2800,0,0,0,0,0
m1709-C-2850,0,0,0,0,0
m1709-C-2900,0,0,0,0,0
m1709-C-2950,0,0,0,0,0
m1709-C-3000,0,0,0,0,0
m1709-C-3050,0,0,0,0,0
m1709-C-3100,0,0,0,0,0
m1709-C-3150,0,0,0,0,0
m1709-C-3200,0,0,0,0,0
m1709-P-2500,0,0,0,0,0
m1709-P-2550,0,0,0,0,0
m1709-P-2600,0,0,0,0,0
m1709-P-2650,0,0,0,0,0
m1709-P-2700,0,0,0,0,0
m1709-P-2750,0,0,0,0,0
m1709-P-2800,0,0,0,0,0
m1709-P-2850,0,0,0,0,0
m1709-P-2900,0,0,0,0,0
m1709-P-2950,0,0,0,0,0
m1709-P-3000,0,0,0,0,0
m1709-P-3050,0,0,0,0,0
m1709-P-3100,0,0,0,0,0
m1709-P-3150,0,0,0,0,0
m1709-P-3200,0,0,0,0,0
m1711,0,0,0,0,0
m1711-C-2600,0,0,0,0,0
m1711-C-2650,0,0,0,0,0
m1711-C-2700,0,0,0,0,0
m1711-C-2750,0,0,0,0,0
m1711-C-2800,0,0,0,0,0
m1711-C-2850,0,0,0,0,0
m1711-C-2900,0,0,0,0,0
m1711-C-2950,0,0,0,0,0
m1711-C-3000,0,0,0,0,0
m1711-C-3050,0,0,0,0,0
m1711-C-3100,0,0,0,0,0
m1711-C-3150,0,0,0,0,0
m1711-C-3200,0,0,0,0,0
m1711-P-2600,0,0,0,0,0
m1711-P-2650,0,0,0,0,0
m1711-P-2700,0,0,0,0,0
m1711-P-2750,0,0,0,0,0
m1711-P-2800,0,0,0,0,0
m1711-P-2850,0,0,0,0,0
m1711-P-2900,0,0,0,0,0
m1711-P-2950,0,0,0,0,0
m1711-P-3000,0,0,0,0,0
m1711-P-3050,0,0,0,0,0
m1711-P-3100,0,0,0,0,0
m1711-P-3150,0,0,0,0,0
m1711-P-3200,0,0,0,0,0
